pdbid,H_H,H_C,H_N,H_O,H_S,C_H,C_C,C_N,C_O,C_S,N_H,N_C,N_N,N_O,N_S,O_H,O_C,O_N,O_O,O_S,S_H,S_C,S_N,S_O,S_S,H_P,C_P,N_P,O_P,S_P,H_F,C_F,N_F,O_F,S_F,H_I,C_I,N_I,O_I,S_I
2iko,5261.0,5101.0,1403.0,0.0,0.0,3702.0,3623.0,971.0,0.0,0.0,808.0,742.0,206.0,0.0,0.0,1026.0,983.0,285.0,0.0,0.0,46.0,51.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439.0,311.0,59.0,80.0,6.0,0.0,0.0,0.0,0.0,0.0
2isw,1253.0,605.0,306.0,1744.0,0.0,773.0,378.0,186.0,1113.0,0.0,247.0,114.0,65.0,340.0,0.0,240.0,119.0,60.0,342.0,0.0,13.0,6.0,3.0,19.0,0.0,285.0,179.0,53.0,53.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2iuz,3863.0,3380.0,1702.0,831.0,0.0,3017.0,2614.0,1319.0,645.0,0.0,701.0,619.0,305.0,155.0,0.0,842.0,753.0,380.0,182.0,0.0,23.0,19.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2iwx,5217.0,5156.0,0.0,1490.0,0.0,3292.0,3272.0,0.0,961.0,0.0,863.0,848.0,0.0,248.0,0.0,1067.0,1038.0,0.0,288.0,0.0,22.0,20.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2izl,4528.0,2651.0,783.0,448.0,307.0,3321.0,1959.0,615.0,314.0,225.0,851.0,510.0,150.0,88.0,54.0,940.0,559.0,168.0,93.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j27,641.0,638.0,0.0,1815.0,0.0,418.0,422.0,0.0,1176.0,0.0,113.0,119.0,0.0,319.0,0.0,120.0,124.0,0.0,343.0,0.0,2.0,2.0,0.0,6.0,0.0,293.0,183.0,51.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j2u,4460.0,4488.0,795.0,955.0,211.0,3124.0,3110.0,545.0,676.0,151.0,863.0,858.0,157.0,194.0,47.0,997.0,993.0,167.0,215.0,46.0,77.0,83.0,13.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j34,4083.0,4235.0,516.0,910.0,433.0,2829.0,2975.0,359.0,636.0,306.0,765.0,817.0,98.0,187.0,97.0,909.0,924.0,111.0,209.0,99.0,66.0,77.0,8.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j47,4746.0,3655.0,951.0,1282.0,0.0,3565.0,2734.0,709.0,974.0,0.0,902.0,737.0,193.0,256.0,0.0,991.0,794.0,211.0,274.0,0.0,31.0,22.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j4g,5105.0,2922.0,279.0,1085.0,289.0,3774.0,2196.0,209.0,834.0,222.0,912.0,543.0,53.0,211.0,57.0,971.0,582.0,60.0,227.0,57.0,38.0,23.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j4i,5704.0,5229.0,686.0,974.0,317.0,4024.0,3642.0,485.0,704.0,232.0,1075.0,1006.0,128.0,199.0,63.0,1269.0,1156.0,145.0,214.0,67.0,86.0,97.0,9.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j62,8139.0,5868.0,893.0,1220.0,0.0,5785.0,4155.0,649.0,895.0,0.0,1372.0,1007.0,162.0,213.0,0.0,1700.0,1278.0,204.0,261.0,0.0,27.0,16.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j75,4332.0,1852.0,313.0,1257.0,0.0,3223.0,1409.0,226.0,950.0,0.0,871.0,389.0,58.0,254.0,0.0,870.0,379.0,61.0,253.0,0.0,16.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j77,4360.0,1870.0,308.0,1264.0,0.0,3242.0,1419.0,230.0,954.0,0.0,875.0,387.0,63.0,259.0,0.0,867.0,378.0,61.0,257.0,0.0,16.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j78,3731.0,1866.0,623.0,1561.0,0.0,2778.0,1408.0,457.0,1175.0,0.0,748.0,378.0,117.0,307.0,0.0,748.0,385.0,117.0,310.0,0.0,14.0,6.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j79,3731.0,1873.0,616.0,1539.0,0.0,2771.0,1411.0,452.0,1163.0,0.0,771.0,382.0,118.0,312.0,0.0,757.0,383.0,117.0,309.0,0.0,14.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j7b,3081.0,1858.0,1205.0,1255.0,0.0,2301.0,1402.0,895.0,940.0,0.0,628.0,383.0,235.0,253.0,0.0,632.0,379.0,238.0,250.0,0.0,12.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j7d,4777.0,3006.0,603.0,1809.0,0.0,3622.0,2283.0,455.0,1378.0,0.0,970.0,613.0,121.0,369.0,0.0,950.0,600.0,113.0,351.0,0.0,21.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j7e,4802.0,3319.0,609.0,1819.0,0.0,3628.0,2534.0,458.0,1407.0,0.0,954.0,663.0,122.0,363.0,0.0,946.0,653.0,115.0,360.0,0.0,21.0,12.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j7f,3434.0,2768.0,614.0,1843.0,0.0,2557.0,2095.0,456.0,1393.0,0.0,701.0,564.0,121.0,367.0,0.0,698.0,549.0,120.0,352.0,0.0,14.0,9.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j7g,3966.0,3013.0,605.0,1809.0,0.0,2950.0,2278.0,449.0,1365.0,0.0,800.0,605.0,117.0,356.0,0.0,795.0,599.0,113.0,353.0,0.0,15.0,10.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j7h,4378.0,1562.0,631.0,937.0,0.0,3251.0,1193.0,460.0,702.0,0.0,874.0,325.0,122.0,190.0,0.0,871.0,318.0,122.0,190.0,0.0,16.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j94,3863.0,3817.0,1205.0,923.0,480.0,2707.0,2653.0,844.0,648.0,348.0,741.0,739.0,244.0,188.0,102.0,860.0,838.0,268.0,218.0,109.0,67.0,70.0,21.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2j95,3972.0,4210.0,497.0,853.0,680.0,2744.0,2914.0,349.0,606.0,487.0,760.0,826.0,99.0,179.0,137.0,880.0,911.0,109.0,195.0,150.0,66.0,76.0,8.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jdm,1935.0,1001.0,0.0,806.0,0.0,1327.0,682.0,0.0,539.0,0.0,439.0,229.0,0.0,170.0,0.0,629.0,329.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jdp,1931.0,1009.0,0.0,802.0,0.0,1326.0,690.0,0.0,543.0,0.0,442.0,232.0,0.0,170.0,0.0,646.0,343.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jds,7144.0,7317.0,1523.0,310.0,0.0,4715.0,4761.0,1006.0,209.0,0.0,1181.0,1144.0,245.0,48.0,0.0,1363.0,1358.0,293.0,58.0,0.0,45.0,53.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jdu,2015.0,1038.0,0.0,831.0,0.0,1376.0,696.0,0.0,560.0,0.0,465.0,240.0,0.0,176.0,0.0,680.0,351.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jew,5717.0,3266.0,854.0,573.0,0.0,4045.0,2303.0,604.0,399.0,0.0,1163.0,679.0,177.0,122.0,0.0,1307.0,762.0,196.0,133.0,0.0,33.0,17.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jf4,8595.0,4633.0,327.0,2664.0,0.0,6376.0,3492.0,251.0,1977.0,0.0,1671.0,931.0,64.0,501.0,0.0,1780.0,981.0,67.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jfz,5751.0,6015.0,1021.0,350.0,0.0,3842.0,4109.0,699.0,239.0,0.0,894.0,1003.0,184.0,61.0,0.0,969.0,1051.0,176.0,60.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jg0,7486.0,4412.0,670.0,3054.0,342.0,5535.0,3295.0,511.0,2268.0,253.0,1448.0,891.0,130.0,583.0,68.0,1567.0,939.0,140.0,631.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jgs,4245.0,2794.0,580.0,726.0,326.0,2952.0,1942.0,412.0,496.0,224.0,700.0,462.0,97.0,121.0,52.0,792.0,534.0,108.0,138.0,61.0,31.0,18.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jh0,5069.0,4340.0,573.0,1005.0,473.0,3661.0,3113.0,425.0,724.0,340.0,984.0,824.0,113.0,195.0,92.0,1117.0,946.0,129.0,225.0,110.0,83.0,83.0,14.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jh5,4526.0,4071.0,592.0,990.0,466.0,3298.0,2924.0,439.0,710.0,330.0,865.0,771.0,121.0,191.0,90.0,998.0,890.0,132.0,223.0,110.0,75.0,82.0,13.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jh6,4995.0,4067.0,583.0,985.0,468.0,3625.0,2916.0,437.0,715.0,335.0,972.0,776.0,120.0,198.0,92.0,1084.0,895.0,129.0,223.0,110.0,83.0,82.0,14.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jiw,4739.0,2525.0,503.0,1145.0,0.0,3574.0,1936.0,382.0,876.0,0.0,916.0,506.0,107.0,218.0,0.0,978.0,532.0,116.0,240.0,0.0,33.0,20.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jjb,8488.0,4574.0,322.0,3255.0,0.0,6336.0,3438.0,255.0,2454.0,0.0,1631.0,912.0,66.0,614.0,0.0,1724.0,935.0,69.0,664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jke,4114.0,1793.0,286.0,1223.0,0.0,3164.0,1368.0,216.0,944.0,0.0,763.0,328.0,51.0,231.0,0.0,898.0,383.0,61.0,262.0,0.0,32.0,16.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jkh,5345.0,4796.0,790.0,614.0,297.0,3678.0,3325.0,547.0,429.0,213.0,1055.0,960.0,161.0,128.0,60.0,1171.0,1041.0,173.0,138.0,68.0,83.0,90.0,13.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jkp,4654.0,2336.0,287.0,1222.0,0.0,3551.0,1770.0,210.0,939.0,0.0,853.0,433.0,52.0,225.0,0.0,1015.0,503.0,62.0,264.0,0.0,35.0,19.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2jxr,11539.0,7482.0,1161.0,1668.0,0.0,7866.0,5169.0,778.0,1133.0,0.0,1861.0,1225.0,184.0,259.0,0.0,2443.0,1616.0,243.0,356.0,0.0,25.0,16.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,531.0,360.0,82.0,116.0,2.0,0.0,0.0,0.0,0.0,0.0
2mas,5465.0,3541.0,599.0,1038.0,0.0,3644.0,2370.0,412.0,681.0,0.0,1049.0,708.0,122.0,192.0,0.0,1105.0,718.0,127.0,203.0,0.0,62.0,39.0,7.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nmx,3538.0,2663.0,541.0,891.0,326.0,2658.0,1973.0,401.0,665.0,247.0,774.0,580.0,120.0,191.0,71.0,644.0,481.0,105.0,163.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nmz,13799.0,9862.0,1681.0,1446.0,0.0,8488.0,6112.0,1034.0,886.0,0.0,2354.0,1706.0,288.0,248.0,0.0,2582.0,1865.0,302.0,279.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nn1,2804.0,2485.0,321.0,1086.0,329.0,2128.0,1851.0,244.0,791.0,248.0,610.0,539.0,71.0,231.0,72.0,529.0,459.0,63.0,199.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nn7,3857.0,2911.0,322.0,1104.0,325.0,2854.0,2161.0,246.0,812.0,247.0,826.0,627.0,71.0,232.0,70.0,709.0,537.0,64.0,205.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nnd,4983.0,3195.0,704.0,348.0,0.0,3442.0,2273.0,484.0,242.0,0.0,743.0,495.0,113.0,55.0,0.0,825.0,544.0,115.0,63.0,0.0,25.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nsj,3177.0,2701.0,965.0,2432.0,0.0,1922.0,1599.0,594.0,1452.0,0.0,592.0,500.0,175.0,443.0,0.0,588.0,498.0,179.0,455.0,0.0,37.0,34.0,14.0,22.0,0.0,217.0,125.0,43.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nsl,3166.0,2675.0,965.0,2443.0,0.0,1919.0,1619.0,592.0,1448.0,0.0,595.0,504.0,175.0,449.0,0.0,585.0,506.0,181.0,450.0,0.0,37.0,34.0,14.0,22.0,0.0,218.0,126.0,43.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nt7,4498.0,5042.0,1298.0,1319.0,419.0,2834.0,3245.0,810.0,860.0,270.0,917.0,1071.0,279.0,254.0,88.0,816.0,947.0,240.0,240.0,88.0,48.0,48.0,15.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nta,1902.0,2767.0,590.0,918.0,514.0,1180.0,1709.0,382.0,578.0,325.0,383.0,586.0,115.0,178.0,111.0,336.0,529.0,107.0,171.0,106.0,18.0,25.0,5.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2o0u,6068.0,6962.0,970.0,500.0,282.0,3657.0,4274.0,580.0,304.0,172.0,976.0,1124.0,160.0,81.0,47.0,1030.0,1172.0,178.0,92.0,49.0,76.0,89.0,12.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2o4j,14256.0,9258.0,0.0,965.0,0.0,9659.0,6383.0,0.0,672.0,0.0,2355.0,1556.0,0.0,163.0,0.0,2416.0,1567.0,0.0,169.0,0.0,92.0,67.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2o4k,14651.0,10230.0,1679.0,1959.0,0.0,8963.0,6344.0,1021.0,1206.0,0.0,2457.0,1738.0,291.0,321.0,0.0,2609.0,1881.0,310.0,358.0,0.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2o4l,9605.0,8785.0,539.0,1441.0,258.0,5879.0,5412.0,328.0,910.0,153.0,1621.0,1517.0,94.0,250.0,44.0,1786.0,1651.0,100.0,269.0,42.0,8.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,662.0,408.0,119.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0
2o4n,9637.0,8809.0,548.0,1470.0,266.0,5946.0,5447.0,330.0,926.0,154.0,1581.0,1486.0,94.0,251.0,45.0,1760.0,1644.0,100.0,267.0,40.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,670.0,421.0,118.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0
2o4r,14204.0,9218.0,0.0,954.0,0.0,9626.0,6373.0,0.0,666.0,0.0,2345.0,1537.0,0.0,166.0,0.0,2429.0,1542.0,0.0,171.0,0.0,97.0,68.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2o4z,1267.0,0.0,649.0,993.0,334.0,950.0,0.0,472.0,714.0,240.0,251.0,0.0,135.0,190.0,69.0,224.0,0.0,117.0,175.0,60.0,6.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2o8h,5817.0,4984.0,1027.0,949.0,184.0,3996.0,3534.0,731.0,673.0,126.0,866.0,766.0,169.0,137.0,23.0,1002.0,900.0,190.0,144.0,23.0,71.0,64.0,14.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oag,4695.0,4891.0,898.0,374.0,187.0,3493.0,3671.0,674.0,236.0,119.0,930.0,969.0,178.0,80.0,41.0,991.0,1036.0,193.0,81.0,43.0,24.0,28.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,855.0,664.0,164.0,187.0,1.0,0.0,0.0,0.0,0.0,0.0
2oax,11093.0,8505.0,0.0,1321.0,361.0,7153.0,5436.0,0.0,888.0,228.0,1561.0,1183.0,0.0,193.0,58.0,1597.0,1208.0,0.0,208.0,57.0,209.0,151.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oc2,9289.0,8966.0,826.0,1926.0,0.0,6821.0,6577.0,604.0,1424.0,0.0,1817.0,1813.0,174.0,389.0,0.0,1885.0,1835.0,179.0,379.0,0.0,37.0,25.0,1.0,3.0,0.0,262.0,197.0,58.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ogy,5401.0,4492.0,1938.0,984.0,0.0,3338.0,2735.0,1186.0,601.0,0.0,947.0,820.0,330.0,192.0,0.0,1028.0,865.0,364.0,186.0,0.0,54.0,45.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oi0,4223.0,3614.0,216.0,753.0,489.0,2820.0,2432.0,142.0,519.0,334.0,763.0,647.0,38.0,136.0,91.0,858.0,727.0,40.0,143.0,94.0,21.0,16.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oi2,3386.0,2025.0,0.0,3284.0,0.0,2058.0,1246.0,0.0,2011.0,0.0,565.0,353.0,0.0,581.0,0.0,603.0,362.0,0.0,626.0,0.0,33.0,22.0,0.0,40.0,0.0,656.0,391.0,116.0,130.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oiq,8507.0,8065.0,1917.0,304.0,0.0,5594.0,5286.0,1245.0,189.0,0.0,1367.0,1280.0,307.0,49.0,0.0,1541.0,1449.0,353.0,53.0,0.0,77.0,68.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ojg,4580.0,4681.0,1228.0,333.0,0.0,2939.0,3001.0,765.0,208.0,0.0,764.0,779.0,212.0,53.0,0.0,846.0,900.0,228.0,62.0,0.0,44.0,49.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ojj,4700.0,6555.0,1194.0,626.0,0.0,2978.0,4164.0,745.0,396.0,0.0,771.0,1067.0,206.0,104.0,0.0,858.0,1229.0,225.0,113.0,0.0,43.0,74.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0,145.0,33.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0
2olb,12352.0,5431.0,1826.0,1213.0,0.0,9082.0,3974.0,1341.0,912.0,0.0,2423.0,1047.0,354.0,229.0,0.0,2818.0,1205.0,417.0,272.0,0.0,91.0,38.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ole,5440.0,4725.0,660.0,380.0,0.0,4106.0,3619.0,491.0,294.0,0.0,1070.0,954.0,128.0,75.0,0.0,1164.0,1013.0,137.0,85.0,0.0,24.0,17.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,857.0,658.0,162.0,184.0,1.0,0.0,0.0,0.0,0.0,0.0
2on6,4668.0,3511.0,1310.0,1180.0,0.0,3133.0,2316.0,872.0,798.0,0.0,786.0,592.0,216.0,209.0,0.0,873.0,647.0,238.0,221.0,0.0,47.0,31.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ot1,2298.0,3589.0,167.0,1047.0,0.0,1367.0,2126.0,96.0,597.0,0.0,441.0,686.0,36.0,211.0,0.0,399.0,629.0,32.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,128.0,43.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ovv,5360.0,5400.0,778.0,745.0,0.0,3783.0,3864.0,572.0,543.0,0.0,834.0,844.0,137.0,117.0,0.0,934.0,967.0,163.0,139.0,0.0,59.0,65.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ovy,4933.0,4999.0,1145.0,749.0,0.0,3524.0,3589.0,820.0,545.0,0.0,770.0,799.0,181.0,120.0,0.0,867.0,898.0,217.0,139.0,0.0,53.0,59.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oxd,582.0,2122.0,586.0,279.0,0.0,390.0,1422.0,401.0,192.0,0.0,99.0,370.0,106.0,51.0,0.0,107.0,397.0,104.0,49.0,0.0,2.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oxn,4483.0,3235.0,698.0,1813.0,0.0,2968.0,2107.0,447.0,1197.0,0.0,875.0,652.0,138.0,343.0,0.0,867.0,629.0,126.0,340.0,0.0,66.0,49.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oxx,565.0,2098.0,577.0,0.0,264.0,385.0,1401.0,390.0,0.0,175.0,102.0,359.0,101.0,0.0,47.0,100.0,390.0,103.0,0.0,48.0,2.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oxy,596.0,2042.0,577.0,0.0,0.0,395.0,1356.0,389.0,0.0,0.0,104.0,372.0,111.0,0.0,0.0,97.0,384.0,100.0,0.0,0.0,3.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2oym,5975.0,3730.0,775.0,958.0,0.0,4412.0,2723.0,571.0,724.0,0.0,1172.0,724.0,144.0,210.0,0.0,1318.0,795.0,164.0,225.0,0.0,17.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2p09,2071.0,1895.0,1112.0,1465.0,0.0,1414.0,1274.0,751.0,980.0,0.0,426.0,397.0,235.0,318.0,0.0,428.0,378.0,212.0,305.0,0.0,22.0,25.0,21.0,3.0,0.0,282.0,190.0,67.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
