pdbid,value
1282,6ekq,5.46
1283,2bet,2.77
1284,1loq,3.7
1285,1ctt,4.52
1286,2c80,5.33
1287,3elc,2.69
1288,5u0w,4.24
1289,6rtw,6.43
1290,3juo,5.07
1291,4x5p,8.21
1292,3b66,8.6
1293,4oc5,7.07
1294,1c3x,3.68
1295,3ao5,2.23
1296,2e91,6.59
1297,5ka9,4.41
1298,1m5w,4.27
1299,3ao2,3.77
1300,2ca8,4.66
1301,3o5n,4.76
1302,6aqs,7.55
1303,4tz2,3.46
1304,2vpo,5.42
1305,4aq6,4.8
1306,4jh0,9.03
1307,4dkr,6.52
1308,3zyf,4.85
1309,4h7q,5.06
1310,6d1i,4.09
1311,3cd0,7.57
1312,3wvm,5.71
1313,2p53,7.46
1314,2zx6,10.6
1315,5e7n,6.09
1316,5zkc,8.19
1317,1z95,7.12
1318,5eqe,3.88
1319,1s38,5.15
1320,6pg9,4.92
1321,1g85,5.48
1322,4h85,5.15
1323,5chk,5.39
1324,3g32,3.71
1325,4att,6.98
1326,4kb9,11.0
1327,2ha6,4.32
1328,2o4n,7.82
1329,2xii,7.2
1330,6ej3,5.93
1331,5mge,4.06
1332,4avs,3.49
1333,5cso,6.03
1334,6hzy,3.92
1335,2ydw,7.34
1336,5u12,5.07
1337,1b3l,5.89
1338,2bvd,6.0
1339,3d91,9.15
1340,1ajv,7.72
1341,3c2o,3.35
1342,5o5a,4.77
1343,5e73,4.64
1344,4u73,5.18
1345,2uyn,2.7
1346,1nw4,9.07
1347,5hz9,7.03
1348,6q4g,4.3
1349,5lyr,7.89
1350,1fd0,8.4
1351,5mek,5.38
1352,3tf6,6.4
1353,4eo6,8.7
1354,3zsx,3.28
1355,5u0y,6.08
1356,4ufl,2.64
1357,2a8g,3.69
1358,5hwu,5.27
1359,6g2o,6.77
1360,1qbq,8.3
1361,2we3,4.43
1362,6i12,5.57
1363,4msc,5.96
1364,1dar,4.96
1365,6n3x,5.09
1366,4psb,4.64
1367,2y5h,5.79
1368,3f18,7.4
1369,4ty7,9.52
1370,4x5r,7.85
1371,2usn,6.51
1372,3mfw,3.52
1373,1c87,4.2
1374,1zhy,6.52
1375,5dw2,5.84
1376,1nq7,6.8
1377,3tt4,8.28
1378,3eb1,4.79
1379,3lir,6.92
1380,1n1m,5.7
1381,4ad2,6.2
1382,3s0b,6.49
1383,4qsu,2.0
1384,1alw,6.52
1385,3gr2,2.52
1386,4umc,3.44
1387,6d15,4.48
1388,1ikt,3.4
1389,4da5,6.44
1390,4v27,6.66
1391,1atl,6.28
1392,3nu6,9.3
1393,1rp7,8.52
1394,3tfn,6.57
1395,1njd,5.57
1396,2izl,6.0
1397,4zbi,6.51
1398,1e2l,4.29
1399,4z2b,7.76
1400,1ajn,2.63
1401,4ks1,8.82
1402,4zv2,2.93
1403,5k0m,8.82
1404,6ayq,8.19
1405,6dyw,10.44
1406,4j28,5.7
1407,1t7j,8.7
1408,3g1d,3.48
1409,1yc1,6.17
1410,4llx,2.89
1411,1j37,8.96
1412,5e13,4.24
1413,3ekv,9.41
1414,5ehr,7.14
1415,6h5x,10.82
1416,5c2h,11.09
1417,4mc9,9.44
1418,2yfa,5.07
1419,2b9a,8.05
1420,2p4s,9.51
1421,1nje,3.8
1422,3o99,10.82
1423,3d6o,4.11
1424,4llk,3.0
1425,3ebl,6.3
1426,6qqz,6.74
1427,2wzs,3.85
1428,6f05,4.47
1429,2x4z,8.57
1430,4gny,4.22
1431,1drj,7.4
1432,6n3v,5.61
1433,3p5o,7.26
1434,4zek,5.66
1435,2afx,5.15
1436,1d4l,8.77
1437,5ogb,7.47
1438,1t5f,4.22
1439,1dzk,6.1
1440,4ara,6.05
1441,3su6,6.02
1442,6dgl,5.52
1443,4ucc,4.32
1444,4hf4,8.62
1445,1o0n,4.09
1446,5ew0,6.59
1447,4m0e,6.22
1448,4ovg,3.69
1449,4xo8,8.96
1450,3acl,6.22
1451,1yfz,4.35
1452,6ud2,10.21
1453,2y80,8.05
1454,1eoc,6.05
1455,1q65,5.46
1456,4msn,4.03
1457,2q63,7.18
1458,5fns,5.4
1459,6n7a,8.37
1460,3n8k,4.05
1461,7upj,8.49
1462,2oag,8.47
1463,1u0g,6.15
1464,1msm,10.48
1465,4w9k,6.54
1466,1y6q,11.7
1467,2ha2,4.66
1468,1pro,11.3
1469,6m8q,6.43
1470,3t60,6.7
1471,5jsg,4.85
1472,5h1v,4.0
1473,5ndf,5.85
1474,1hdq,5.82
1475,4myd,4.55
1476,1qy1,6.52
1477,2v59,7.74
1478,3ga5,5.49
1479,1c88,5.29
1480,4lbu,6.56
1481,2py4,6.7
1482,1b46,5.28
1483,5ime,8.34
1484,5hz8,6.4
1485,1j36,7.74
1486,3t08,3.04
1487,5lom,7.13
1488,1d7j,3.3
1489,2oax,8.65
1490,4dsu,2.82
1491,4pop,8.13
1492,4nbl,6.33
1493,1fhd,6.82
1494,4hdf,8.49
1495,5oss,4.55
1496,4hwp,7.76
1497,1d4y,11.1
1498,4x5q,9.0
1499,4oks,4.48
1500,3tfp,6.47
1501,1hpo,9.22
1502,4x24,9.78
1503,6md0,5.9
1504,1fjs,9.96
1505,2bpv,7.67
1506,1ogd,3.03
1507,3s43,8.6
1508,2e7f,6.1
1509,5hz6,7.8
1510,2ayr,9.29
1511,5voj,8.44
1512,3vfb,9.04
1513,4ngn,7.55
1514,4xoe,5.0
1515,2o4r,9.4
1516,1lah,7.52
1517,4zls,9.09
1518,4ipj,4.87
1519,6ibk,3.29
1520,6ftf,8.1
1521,5k9w,4.59
1522,2vvu,8.1
1523,6dyu,10.26
1524,6p3t,7.32
1525,4isi,8.14
1526,1mtr,8.4
1527,4f2w,11.3
1528,1b8o,10.64
1529,3p3g,9.74
1530,2ctc,3.89
1531,5kcb,6.0
1532,5dpx,4.46
1533,5wlo,10.82
1534,1e2k,4.94
1535,1h23,8.35
1536,2oi0,7.55
1537,1n3i,8.89
1538,1xt8,6.85
1539,1nc3,5.0
1540,1b8n,10.52
1541,3djo,4.39
1542,3i7e,10.85
1543,4cl6,5.39
1544,1vfn,5.6
1545,5c1w,5.06
1546,4ovh,4.85
1547,6d5e,6.85
1548,5xvg,8.05
1549,2y5g,6.84
1550,5wbm,4.7
1551,3cj5,6.34
1552,5dfp,7.66
1553,5w2s,7.33
1554,1l8g,6.22
1555,6fuh,3.77
1556,1bzj,4.66
1557,4y59,5.24
1558,5xpi,5.28
1559,2f7p,6.6
1560,3kyq,4.22
1561,5u14,5.34
1562,4m3p,5.4
1563,6i5g,4.89
1564,2j7d,7.13
1565,3k5x,6.41
1566,5oku,6.26
1567,2qi0,7.38
1568,5ftg,6.15
1569,5nw2,6.49
1570,2wed,6.1
1571,2j75,6.65
1572,5mxf,3.59
1573,1uml,7.52
1574,4hdb,8.05
1575,1xka,6.88
1576,2vwm,7.03
1577,2iko,5.45
1578,4djp,10.55
1579,2wos,3.9
1580,1rd4,7.74
1581,1jet,7.25
1582,5oh9,3.86
1583,4llp,4.8
1584,6ueg,4.71
1585,5dkn,3.69
1586,1zs0,6.15
1587,6j1l,6.42
1588,5fh8,6.77
1589,3bvb,5.49
1590,5lvr,3.6
1591,5el9,7.64
1592,5mrp,5.52
1593,3dx3,6.52
1594,5we9,7.22
1595,1h22,9.1
1596,3b1m,8.48
1597,2vqt,6.0
1598,1g2o,10.55
1599,2qta,5.76
1600,3qps,5.6
1601,4oma,4.17
1602,3zt3,2.86
1603,2wec,3.96
1604,3ikd,6.75
1605,1ele,6.85
1606,1swg,7.36
1607,2j7g,7.0
1608,6hmg,4.94
1609,3bxf,5.54
1610,4keq,3.82
1611,2zxd,5.22
1612,6qln,4.66
1613,4c5d,5.4
1614,3uuo,7.96
1615,5hrx,5.29
1616,5mgf,4.27
1617,5hrv,5.29
1618,6fhq,2.47
1619,3ekx,9.41
1620,2f7i,7.1
1621,4lm0,3.25
1622,1f8e,4.82
1623,6eq8,8.0
1624,3pcn,3.66
1625,4rlw,4.87
1626,1mfi,5.59
1627,6g2m,7.82
1628,6udu,9.3
1629,6d2o,5.3
1630,4qfn,4.12
1631,4pee,8.32
1632,3hf8,6.51
1633,3gqz,2.17
1634,6pg6,3.7
1635,3zv7,5.92
1636,1pfu,2.72
1637,6t1i,5.26
1638,5lvq,4.14
1639,1yc4,6.55
1640,1nc1,6.12
1641,3vdb,2.52
1642,3i51,7.7
1643,2vk2,6.89
1644,3rr4,4.55
1645,1ec9,3.1
1646,4tkj,6.04
1647,4auj,7.74
1648,4mrw,3.3
1649,1a1e,6.0
1650,2xbv,8.43
1651,6p86,4.7
1652,5qtt,8.47
1653,4ih3,4.82
1654,5yas,3.26
1655,2q88,5.8
1656,4jwk,8.32
1657,2qtg,5.08
1658,4q4o,7.46
1659,2z1w,4.08
1660,3t3c,10.23
1661,4r4i,6.27
1662,2ax9,9.52
1663,2h4k,5.49
1664,4arb,5.89
1665,4zbf,7.13
1666,2f7o,7.44
1667,1s19,9.51
1668,5h1u,3.51
1669,2vk6,5.3
1670,1v0k,5.1
1671,4e70,5.28
1672,6dai,4.07
1673,2hu6,3.81
1674,6eiz,6.22
1675,6dpz,3.59
1676,1w4p,4.74
1677,4a6s,5.2
1678,6fv4,2.92
1679,2cbu,5.68
1680,4rvr,6.87
1681,6qrc,4.89
1682,3su5,5.58
1683,6d5g,6.6
1684,6b4l,6.47
1685,1sw2,7.22
1686,3oy8,3.66
1687,2haw,4.92
1688,4ibk,4.3
1689,4qfl,5.11
1690,1ocq,5.19
1691,5jfp,9.32
1692,5egm,8.62
1693,1qy2,5.74
1694,2i4v,11.2
1695,1y3n,5.55
1696,4dff,7.46
1697,1e1x,5.89
1698,4ayq,7.33
1699,4ymb,6.21
1700,1d09,7.57
1701,2zx8,9.64
1702,5g4m,3.86
1703,3jrs,4.28
1704,1v7a,8.01
1705,1wht,3.7
1706,3ccw,7.87
1707,6dj7,8.72
1708,4w9l,5.02
1709,3o9d,10.72
1710,3ocz,7.46
1711,5g4n,4.0
1712,5j1x,5.52
1713,5ehw,3.0
1714,1nf8,7.82
1715,6j3p,6.98
1716,3a2o,9.08
1717,6pga,4.54
1718,5n6s,8.09
1719,4yml,8.35
1720,3pn1,6.96
1721,3t1a,8.37
1722,5oha,4.89
1723,5d21,8.38
1724,2qbs,6.68
1725,6md6,5.1
1726,6p83,7.1
1727,6fui,4.46
1728,4f1l,5.12
1729,1fcx,7.19
1730,4a4v,6.54
1731,5g2g,6.05
1732,3mxe,10.01
1733,5t8o,6.51
1734,2q55,8.69
1735,3zyu,7.0
1736,4ih6,4.74
1737,1k27,9.0
1738,2v77,5.06
1739,4u5o,2.42
1740,6dsp,6.09
1741,6ior,4.31
1742,2b07,6.43
1743,5xmx,7.24
1744,2h3e,5.7
1745,3ip6,6.6
1746,5ngz,2.89
1747,5cst,6.96
1748,1drk,6.82
1749,6g2s,8.4
1750,1ndy,6.17
1751,5etj,10.18
1752,4mo4,4.22
1753,3o9i,11.82
1754,1m0q,3.89
1755,4b74,7.66
1756,3nu3,9.82
1757,8cpa,9.15
1758,5aan,4.15
1759,5dqe,3.63
1760,4f9u,6.03
1761,1nli,3.59
1762,6udt,10.0
1763,5xva,7.29
1764,4ibe,4.15
1765,6fgg,4.77
1766,5wyz,7.68
1767,5zo8,8.2
1768,2x2r,7.12
1769,3zt2,2.84
1770,4wkb,11.57
1771,4b9k,6.17
1772,1a4r,6.66
1773,4k0o,3.0
1774,1kc7,5.52
1775,1h46,3.57
1776,5l8a,4.91
1777,5j6a,7.77
1778,4efs,8.6
1779,5wyx,6.66
1780,4r06,6.29
1781,4crc,8.72
1782,2cli,4.3
1783,5ev8,5.22
1784,5fnr,4.23
1785,6qr7,7.15
1786,1a4k,8.0
1787,3f5l,3.72
1788,3zll,6.4
1789,3s0d,7.05
1790,4nyf,7.31
1791,6md8,2.38
1792,4i54,6.96
1793,6pge,3.62
1794,4hwo,8.54
1795,6ma5,8.1
1796,4dmw,4.94
1797,6q3z,7.36
1798,3muz,3.46
1799,1z4o,4.52
1800,5ect,5.28
1801,2i6b,7.17
1802,6if0,6.51
1803,5l9i,7.0
1804,4q4s,6.95
1805,4u70,5.02
1806,4ibi,4.14
1807,2boj,5.77
1808,5f9b,4.26
1809,2vo5,4.89
1810,6ghh,6.71
1811,4kiu,3.85
1812,1v16,3.87
1813,6fmj,6.12
1814,5oh2,4.24
1815,6mnv,3.37
1816,1upf,4.6
1817,4nvp,7.57
1818,5uez,6.01
1819,3cz1,7.26
1820,3g34,2.96
1821,1adl,5.36
1822,4v24,8.37
1823,6g2l,7.17
1824,4ejl,5.14
1825,5bry,11.82
1826,6ssy,3.19
1827,6e6m,5.75
1828,6i11,4.53
1829,4u6z,5.41
1830,3gc5,7.26
1831,4r4o,5.82
1832,6i0z,4.04
1833,3hl5,4.47
1834,2r58,2.0
1835,2qi3,10.2
1836,2xib,7.26
1837,2azr,3.64
1838,4na9,7.39
1839,5z7b,4.89
1840,2on6,6.76
1841,4i7l,3.99
1842,6oqd,9.85
1843,1y1z,3.08
1844,1pb9,3.62
1845,1m0n,2.22
1846,2idw,8.89
1847,2nt7,6.52
1848,3rtf,7.35
1849,3rdo,9.85
1850,1uou,7.7
1851,4xmb,7.36
1852,2zn7,7.89
1853,3sk2,3.61
1854,4arw,7.13
1855,4mc2,8.19
1856,4g4p,6.89
1857,1igj,10.0
1858,6dh6,9.93
1859,6dys,4.25
1860,5exm,8.2
1861,2z94,5.85
1862,4g8v,5.8
1863,5tuz,7.4
1864,4br3,5.72
1865,6en5,7.94
1866,6qls,5.35
1867,4eo8,8.15
1868,1f57,5.64
1869,2gyi,7.0
1870,3ewj,6.84
1871,4og3,6.55
1872,2f6t,4.62
1873,6jad,4.32
1874,3gi6,11.22
1875,2clk,3.79
1876,4csd,5.91
1877,4q1w,11.7
1878,5dh4,7.24
1879,4n6g,5.47
1880,2qwf,5.67
1881,6t1n,5.46
1882,1ols,5.82
1883,3iog,5.52
1884,3kiv,4.7
1885,2i3h,7.4
1886,5z7j,6.6
1887,6j3o,5.62
1888,6dgr,4.91
1889,3brn,8.7
1890,2afw,4.77
1891,4c1y,3.6
1892,4nbn,4.36
1893,5oh3,3.87
1894,4q1y,10.35
1895,1rpj,6.48
1896,4gbd,11.32
1897,4jx9,8.62
1898,1fkh,8.15
1899,2qe4,7.96
1900,2qm9,7.77
1901,2e1w,7.96
1902,4mrz,3.52
1903,6dz3,8.89
1904,4g8y,4.59
1905,5wcm,4.0
1906,5hct,7.6
1907,6s4t,7.95
1908,3uug,4.51
1909,187l,3.37
1910,3gtc,2.35
1911,3p8z,6.09
1912,5mgj,4.29
1913,5n18,5.68
1914,6cpa,11.52
1915,6r1w,5.3
1916,4zji,6.47
1917,6dpx,5.89
1918,4app,7.19
1919,1jao,5.92
1920,6dd0,5.48
1921,4q4r,6.43
1922,3mam,4.12
1923,4heg,8.92
1924,3o7u,7.28
1925,2jkp,4.23
1926,1fv0,5.93
1927,6cwn,6.65
1928,1x1z,11.06
1929,2f94,6.71
1930,1lrh,6.82
1931,2vpn,6.72
1932,4c1u,7.09
1933,1fh7,5.24
1934,3exe,6.96
1935,6maj,7.47
1936,6d1a,4.35
1937,4wkp,9.55
1938,1d2e,6.0
1939,1gyy,3.64
1940,3nu9,9.05
1941,6poi,3.49
1942,4pum,6.73
1943,5b5g,5.25
1944,4ayu,4.73
1945,6qge,5.68
1946,2nnd,6.06
1947,2ylc,7.89
1948,5oxk,2.17
1949,6nu5,5.15
1950,6guk,6.15
1951,4e1k,6.3
1952,4kmz,8.57
1953,2e92,6.89
1954,4mc1,7.85
1955,4nbk,3.87
1956,2j4g,6.6
1957,6hgj,4.38
1958,2vsl,8.4
1959,6quv,3.0
1960,6n0j,5.37
1961,5uk8,6.4
1962,1koj,6.7
1963,1ai4,2.5
1964,4ibb,3.57
1965,1v0l,7.55
1966,2hb3,11.35
1967,4lm2,3.03
1968,1ydk,5.89
1969,4ibj,4.33
1970,6i18,4.07
1971,5fe6,2.16
1972,4up5,2.6
1973,3w07,3.38
1974,184l,4.72
1975,3gnw,9.1
1976,4mc6,9.59
1977,4rdn,5.92
1978,5ne5,7.41
1979,3u10,5.44
1980,3kek,8.36
1981,6c0s,7.05
1982,1f3e,6.7
1983,2a5b,3.93
1984,2gss,4.94
1985,2jew,6.69
1986,6qqw,4.72
1987,5ota,5.74
1988,5i2e,6.64
1989,3ts4,8.72
1990,6pvz,3.47
1991,4dsy,4.43
1992,2w08,3.42
1993,1f4f,4.62
1994,1df8,9.7
1995,5kby,8.82
1996,3b4p,5.4
1997,4cga,6.4
1998,6qlu,4.64
1999,2g5u,8.49
2000,6qlo,5.06
2001,5ja0,5.22
2002,6mdu,4.25
2003,6hni,4.03
2004,5g45,3.3
2005,4rlt,4.96
2006,3t0d,2.37
2007,6dh1,10.58
2008,1qk3,5.15
2009,3hfb,7.52
2010,1f8c,7.4
2011,2vmf,5.85
2012,3fj7,3.71
2013,3ccz,7.29
2014,5n9r,5.59
2015,6i17,6.6
2016,3ge7,8.7
2017,1fki,7.0
2018,5drr,11.46
2019,2r3w,6.89
2020,3lgs,4.61
2021,1dud,4.82
2022,3nuj,9.39
2023,6jao,4.86
2024,3ctt,6.35
2025,4i8z,11.05
2026,3le9,8.22
2027,4x5y,8.03
2028,1swr,6.92
2029,3w9r,6.18
2030,6qmk,7.46
2031,6fnr,5.59
2032,6d18,5.85
2033,2pqc,5.74
2034,1wm1,6.3
2035,4msa,3.3
2036,2dw7,4.7
2037,5om3,4.1
2038,6hly,7.33
2039,3u5j,5.61
2040,5mwh,5.74
2041,3djk,10.59
2042,1ssq,6.0
2043,5f1v,6.85
2044,2d3z,6.64
2045,6p9e,7.17
2046,6jam,5.23
2047,3d4y,5.7
2048,4w52,3.76
2049,6qz5,6.08
2050,4ks4,7.14
2051,6ftz,3.0
2052,1zvx,9.22
2053,6guh,7.59
2054,1mq5,9.0
2055,4ibg,3.97
2056,5ldm,3.86
2057,3i4y,7.05
2058,10gs,6.4
2059,4ewn,6.7
2060,3lzu,10.06
2061,5dgw,11.05
2062,4j44,5.73
2063,6nw3,7.66
2064,3gt9,3.96
2065,4w9d,4.99
2066,3dx4,7.12
2067,5c2a,8.32
2068,2psv,7.24
2069,5cqt,6.91
2070,2wvz,4.02
2071,4ad3,4.62
2072,1hyo,4.07
2073,4ahu,2.27
2074,5d48,7.52
2075,4oiv,5.08
2076,5afv,5.59
2077,3ip8,2.28
2078,5c1m,10.8
2079,2f80,8.18
2080,3h5b,10.0
2081,2p4y,9.0
2082,6mh7,5.74
2083,3kqr,4.43
2084,6dh2,10.89
2085,6n0k,5.07
2086,6ckw,9.08
2087,2nsl,4.68
2088,5exl,8.43
2089,1dy4,4.36
2090,2uyq,5.68
2091,6qlp,5.28
2092,2w47,4.98
2093,3dp9,9.68
2094,4ty6,7.52
2095,3d6p,3.75
2096,4djr,11.52
2097,6qr0,6.92
2098,2nta,4.8
2099,6g2c,4.66
2100,1enu,5.08
2101,2qd7,9.1
2102,6pg8,3.85
2103,6p84,4.81
2104,2pu2,4.43
2105,3p7i,7.7
2106,5i1q,7.92
2107,4w9h,6.73
2108,5jgq,4.62
2109,6prf,8.6
2110,2q8h,3.0
2111,5wbo,4.21
2112,3v2p,6.36
2113,5n1z,8.19
2114,3f7g,7.37
2115,2qd6,8.68
2116,5uv2,4.4
2117,6qr4,6.23
2118,1hi4,4.49
2119,3djp,4.2
2120,3cj2,4.85
2121,4de0,5.89
2122,1ugx,5.91
2123,3tvc,7.74
2124,6epz,7.14
2125,3vd9,4.0
2126,5m5d,3.95
2127,4mhz,6.87
2128,4ufj,4.28
2129,2fzg,3.38
2130,5fnt,6.17
2131,3f8f,6.63
2132,6dj5,8.14
2133,1hmr,6.55
2134,1ai7,4.09
2135,3ejr,8.57
2136,5ji8,4.63
2137,6r11,4.92
2138,1ew9,3.22
2139,8a3h,4.06
2140,3iof,5.22
2141,4f3c,11.82
2142,6i14,5.82
2143,4k7n,3.48
2144,2fxv,5.35
2145,6e4a,7.36
2146,6dgq,5.51
2147,2xg9,4.15
2148,4en4,5.52
2149,3ekt,10.59
2150,2rfh,6.82
2151,3uzj,5.55
2152,4a4w,7.72
2153,1od8,5.1
2154,2qw1,3.9
2155,1lf2,7.52
2156,4cj4,3.36
2157,5fh7,6.86
2158,4np2,2.26
2159,4ngm,10.35
2160,4av5,7.21
2161,4uma,5.41
2162,4lkq,3.35
2163,1li3,4.25
2164,5z5f,2.17
2165,2wzf,7.0
2166,2ra6,4.52
2167,4lrr,5.22
2168,6rih,3.98
2169,5v7a,6.38
2170,5ewa,4.82
2171,1o86,9.57
2172,4p3h,6.0
2173,2vba,4.6
2174,3eqr,8.7
2175,6pg4,3.59
2176,5cc2,4.1
2177,5jsj,5.4
2178,3cyz,7.22
2179,5yj8,3.98
2180,5jg1,8.72
2181,1kuk,3.91
2182,1z1h,8.4
2183,2cer,9.22
2184,6stl,8.8
2185,1ohr,8.7
2186,4dv8,9.24
2187,4pcs,7.85
2188,4ahs,2.19
2189,2ymd,3.16
2190,1gpk,5.37
2191,1m48,5.09
2192,4kow,4.31
2193,1olu,4.41
2194,4exs,4.41
2195,4ish,8.72
2196,6q3y,7.27
2197,3uz5,7.22
2198,6r1b,5.44
2199,6qr3,6.44
2200,3gv9,2.12
2201,6iiu,7.96
2202,6g9i,3.93
2203,4pin,5.4
2204,3t70,6.3
2205,5ahw,5.17
2206,1p19,4.11
2207,2qd8,9.07
2208,6jav,5.76
2209,3ejp,8.55
2210,3f1a,7.21
2211,5l2s,7.08
2212,1rjk,10.0
2213,4mre,2.19
2214,3o9a,10.7
2215,2qtt,4.32
2216,2qi4,10.44
2217,3bxe,5.48
2218,3f7h,7.09
2219,3d1z,8.8
2220,5gsa,7.09
2221,5qal,3.46
2222,4u54,2.06
2223,1sr7,10.1
2224,2vwn,8.0
2225,6eyt,5.72
2226,3qt6,5.37
2227,5kat,4.1
2228,1f8b,5.4
2229,2y7x,8.89
2230,5g4o,4.43
2231,5ulp,4.61
2232,3pcf,6.05
2233,2ydt,5.52
2234,4zo5,9.82
2235,1x8t,7.8
2236,3qqa,5.82
2237,1y6r,10.11
2238,3uw4,7.77
2239,2hzy,7.39
2240,3hl8,4.49
2241,3n76,6.85
2242,1jaq,4.48
2243,4mmm,3.82
2244,6qr2,5.49
2245,5lz5,6.35
2246,5gja,5.55
2247,4rlu,4.82
2248,3k4d,5.11
2249,6gw4,5.92
2250,6qmj,7.36
2251,4w9f,5.49
2252,4lyw,6.63
2253,5wa9,6.76
2254,6n7d,9.52
2255,4kfq,8.23
2256,6cks,7.82
2257,1cps,6.66
2258,6aox,4.82
2259,4lxd,7.23
2260,3ppr,2.82
2261,4b76,4.54
2262,3d78,7.64
2263,4kz7,2.49
2264,6st0,5.13
2265,3cke,6.1
2266,4pox,5.43
2267,5oh7,4.37
2268,6gj8,5.87
2269,1ela,6.36
2270,6pgb,4.6
2271,5f1r,6.0
2272,1fcz,9.22
2273,5a6x,6.69
2274,1gyx,2.48
2275,4x6p,8.3
2276,4de3,5.52
2277,3d6q,3.76
2278,3f3a,4.19
2279,3dxg,2.4
